dist,value
0,2569.9970703125
1,2570.027099609375
2,2570.0400390625
3,2570.08203125
4,2570.1240234375
5,2570.135986328125
6,2570.1669921875
7,2570.177978515625
8,2570.215087890625
9,2570.236083984375
10,2570.236083984375
11,2570.257080078125
12,2570.279052734375
13,2570.239990234375
14,2570.236083984375
15,2570.236083984375
16,2570.199951171875
17,2570.33203125
18,2570.236083984375
19,2570.287109375
20,2570.287109375
21,2570.2099609375
22,2570.1669921875
23,2570.160888671875
24,2570.159912109375
25,2570.159912109375
26,2570.218994140625
27,2570.26806640625
28,2570.301025390625
29,2570.322021484375
30,2570.340087890625
31,2570.343994140625
32,2570.3330078125
33,2570.360107421875
34,2570.382080078125
35,2570.4208984375
36,2570.4541015625
37,2570.43505859375
38,2570.5380859375
39,2570.510986328125
40,2570.610107421875
41,2570.64306640625
42,2570.679931640625
43,2570.85888671875
44,2570.779052734375
45,2570.9609375
46,2570.987060546875
47,2570.6669921875
48,2570.60400390625
49,2570.81591796875
50,2570.98095703125
51,2570.551025390625
52,2570.72412109375
53,2570.72412109375
54,2570.93994140625
55,2571.156005859375
56,2571.27490234375
57,2571.31494140625
58,2571.31494140625
59,2571.177001953125
60,2571.01708984375
61,2570.947021484375
62,2570.787109375
63,2570.787109375
64,2570.9189453125
65,2571.14111328125
66,2571.22998046875
67,2571.4541015625
68,2571.4541015625
69,2571.677001953125
70,2571.64111328125
71,2571.597900390625
72,2571.54296875
73,2571.514892578125
74,2571.44189453125
75,2571.368896484375
76,2571.35791015625
77,2571.376953125
78,2571.409912109375
79,2571.5
80,2571.556884765625
81,2571.5869140625
82,2571.60009765625
83,2571.596923828125
84,2571.593994140625
85,2571.58203125
86,2571.592041015625
87,2571.5869140625
88,2571.594970703125
89,2571.60693359375
90,2571.614990234375
91,2571.614990234375
92,2571.64794921875
93,2571.81396484375
94,2571.885986328125
95,2572.014892578125
96,2572.014892578125
97,2572.113037109375
98,2572.277099609375
99,2572.35498046875
100,2572.3779296875
101,2572.3779296875
102,2572.340087890625
103,2572.294921875
104,2572.10595703125
105,2571.9130859375
106,2571.9130859375
107,2571.89306640625
108,2571.700927734375
109,2571.51611328125
110,2571.5869140625
111,2571.823974609375
112,2571.85888671875
113,2571.80810546875
114,2571.597900390625
115,2571.6640625
116,2571.5830078125
117,2571.572021484375
118,2571.657958984375
119,2571.595947265625
120,2571.659912109375
121,2571.625
122,2571.631103515625
123,2571.554931640625
124,2571.47412109375
125,2571.5419921875
126,2571.5400390625
127,2571.4599609375
128,2571.551025390625
129,2571.614990234375
130,2571.7109375
131,2571.72509765625
132,2571.791015625
133,2571.803955078125
134,2571.803955078125
135,2571.81005859375
136,2571.94189453125
137,2571.909912109375
138,2571.903076171875
139,2571.903076171875
140,2571.966064453125
141,2572.01708984375
142,2572.052001953125
143,2572.080078125
144,2572.095947265625
145,2572.10888671875
146,2572.137939453125
147,2572.15087890625
148,2572.181884765625
149,2572.197998046875
150,2572.221923828125
151,2572.27197265625
152,2572.300048828125
153,2572.261962890625
154,2572.205078125
155,2572.20703125
156,2572.179931640625
157,2572.214111328125
158,2572.240966796875
159,2572.302001953125
160,2572.3359375
161,2572.39697265625
162,2572.429931640625
163,2572.4580078125
164,2572.51904296875
165,2572.552001953125
166,2572.613037109375
167,2572.64599609375
168,2572.674072265625
169,2572.735107421875
170,2572.76806640625
171,2572.8291015625
172,2572.875
173,2572.875
174,2572.904052734375
175,2572.964111328125
176,2572.991943359375
177,2573.092041015625
178,2573.096923828125
179,2573.2490234375
180,2573.25390625
181,2573.35107421875
182,2573.388916015625
183,2573.403076171875
184,2573.447998046875
185,2573.443115234375
186,2573.447998046875
187,2573.423095703125
188,2573.410888671875
189,2573.403076171875
190,2573.402099609375
191,2573.427001953125
192,2573.424072265625
193,2573.388916015625
194,2573.39111328125
195,2573.419921875
196,2573.443115234375
197,2573.431884765625
198,2573.466064453125
199,2573.47802734375
200,2573.47900390625
201,2573.488037109375
202,2573.49609375
203,2573.489990234375
204,2573.47900390625
205,2573.48291015625
206,2573.48291015625
207,2573.489990234375
208,2573.490966796875
209,2573.498046875
210,2573.506103515625
211,2573.506103515625
212,2573.512939453125
213,2573.512939453125
214,2573.52099609375
215,2573.528076171875
216,2573.528076171875
217,2573.535888671875
218,2573.535888671875
219,2573.54296875
220,2573.550048828125
221,2573.551025390625
222,2573.55810546875
223,2573.55908203125
224,2573.56591796875
225,2573.572998046875
226,2573.572998046875
227,2573.5810546875
228,2573.5810546875
229,2573.587890625
230,2573.594970703125
231,2573.595947265625
232,2573.60302734375
233,2573.60400390625
234,2573.611083984375
235,2573.617919921875
236,2573.617919921875
237,2573.6259765625
238,2573.633056640625
239,2573.634033203125
240,2573.64111328125
241,2573.64111328125
242,2573.64794921875
243,2573.656005859375
244,2573.656005859375
245,2573.658935546875
246,2573.6630859375
247,2573.6708984375
248,2573.674072265625
249,2573.674072265625
250,2573.676025390625
251,2573.68603515625
252,2573.68994140625
253,2573.69091796875
254,2573.69091796875
255,2573.69189453125
256,2573.705078125
257,2573.70703125
258,2573.7080078125
259,2573.7080078125
260,2573.7099609375
261,2573.72412109375
262,2573.718994140625
263,2573.7119140625
264,2573.697998046875
265,2573.64599609375
266,2573.594970703125
267,2573.4970703125
268,2573.66796875
269,2573.6630859375
270,2573.676025390625
271,2573.68896484375
272,2573.697021484375
273,2573.718994140625
274,2573.743896484375
275,2573.7470703125
276,2573.68798828125
277,2573.666015625
278,2573.719970703125
279,2573.662109375
280,2573.656005859375
281,2573.573974609375
282,2573.573974609375
283,2573.75390625
284,2573.867919921875
285,2573.89404296875
286,2573.95703125
287,2573.95703125
288,2574.0810546875
289,2574.05810546875
290,2574.125
291,2574.19189453125
292,2574.19189453125
293,2574.214111328125
294,2574.23193359375
295,2574.242919921875
